svar	svar avya. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.1.1 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
svarga	svarga puM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.1.2 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
nAka	nAka puM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.1.3 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
wrixiva	wrixiva puM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.1.4 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
wrixaSAlaya	wrixaSAlaya puM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.1.5 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
suraloka	suraloka puM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.2.1 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
xyo	xyo swrI. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.2.2 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
xiv	xiv swrI. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.2.3 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
wriviRtapa	wriviRtapa napuM. || svargaH || samAnArWaka:svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go || 1.1.6.2.4 || svaravyayaM svarganAkawrixivawrixaSAlayaH. suraloko xyoxivO xve swriyAM klIbe wriviRtapam..  || avayava : xevasaBA || sambanXi2 : xevaH || paxArWa-viBAgaH : , xravyam, pqWvI, acalanirjIvaH, sWAnam, alOkikasWAnam
amara	amara puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.1 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
nirjaras	nirjaras puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.2 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
xeva	xeva puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.3 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
wrixaSa	wrixaSa puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.4 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
vibuXa	vibuXa puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.5 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
sura	sura puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.1.6 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
suparvan	suparvan puM. || xevaH || samAnArWaka:amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa || 1.1.7.2.1 || amarA nirjarA xevAswrixaSA vibuXAH surAH. suparvANaH sumanasaswrixiveSA xivOkasaH..  || sambanXi1 : svargaH || sambanXi2 : xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH ||  : brahmA, viRNuH, kAmaxevaH, SivaH, gaNeSaH, kArwikeyaH, inxraH, aSvinIkumArO, agniH, yamaH, varuNaH, vAyuH, kuberaH, pUrvaxiSAyAH_svAmI, AgneyaxiSAyAH_svAmI, xakRiNaxiSAyAH_svAmI, nErqwyaxiSAyAH_svAmI, paScimaxiSAyAH_svAmI, vAyavyaxiSAyAH_svAmI, uwwaraxiSAyAH_svAmI, ISAnaxiSAyAH_svAmI, iRtArWoxyamaH, vAyuxevaH, manonigrahaH || paxArWa-viBAgaH : , xravyam, AwmA, xevawA
