svar;avya.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
svarga;puM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
nAka;puM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
wrixiva;puM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
wrixaSAlaya;puM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
suraloka;puM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
xyo;swrI.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
xiv;swrI.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
wriviRtapa;napuM.;svargaH;svar,svarga,nAka,wrixiva,wrixaSAlaya,suraloka,xyo,xiv,wriviRtapa,go;xevasaBA,xevaH;;;xravyam;pqWvI;acalanirjIvaH;sWAnam;alOkikasWAnam
amara;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
nirjaras;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
xeva;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
wrixaSa;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
vibuXa;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
sura;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
suparvan;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
sumanas;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
wrixiveSa;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
xivOkas;puM.;xevaH;amara,nirjaras,xeva,wrixaSa,vibuXa,sura,suparvan,sumanas,wrixiveSa,xivOkas,Axiweya,xiviRax,leKa,axiwinanxana,Axiwya,qBava,asvapna,amarwya,amqwAnXas,barhirmuKa,krawuBuj,gIrvANa,xAnavAri,vqnxAraka,xEvawa,xevawA,xivyopapAxuka,vivasvaw,animiRa;svargaH,xevaraWaH,xevarRiH,xevasaBA,amqwam,xevagafgA,xevavqkRaH,apsaras,GqwAcInAmApsarA,menakAnAmApsarA,ramBAnAmApsarA,urvaSInAmApsarA,wilowwamAnAmApsarA,sukeSInAmApsarA,maFjuGoRAnAmApsarA,hAhAnAmaxevagAyakaH,hUhUnAmaxevagAyakaH,xevagAyakaH;brahmA,viRNuH,kAmaxevaH,SivaH,gaNeSaH,kArwikeyaH,inxraH,aSvinIkumArO,agniH,yamaH,varuNaH,vAyuH,kuberaH,pUrvaxiSAyAH_svAmI,AgneyaxiSAyAH_svAmI,xakRiNaxiSAyAH_svAmI,nErqwyaxiSAyAH_svAmI,paScimaxiSAyAH_svAmI,vAyavyaxiSAyAH_svAmI,uwwaraxiSAyAH_svAmI,ISAnaxiSAyAH_svAmI,iRtArWoxyamaH,vAyuxevaH,manonigrahaH;;xravyam;AwmA;xevawA
