साचीकृतवदना,46,4,11,द दा द दा दा दा दा द दा दा दा,12,दा दा द दा द दा दा द दा द दा दा,11,द दा द दा दा दा दा द दा दा दा,12,दा दा द दा द दा दा द दा द दा दा,अर्ध-सम-वृत्त
अर्धरुतम्,52,4,13,दा द दा द दा द दा दा दा द दा द दा,13,दा द दा द दा द दा दा द दा दा द दा,13,दा द दा द दा द दा दा दा द दा द दा,13,दा द दा द दा द दा दा द दा दा द दा,अर्ध-सम-वृत्त
शालभञ्जिका,44,4,11,द दा दा द दा द दा द दा द दा,11,दा द दा दा दा द दा द दा द दा,11,द दा दा द दा द दा द दा द दा,11,दा द दा दा दा द दा द दा द दा,अर्ध-सम-वृत्त
मार्दङ्गी,64,4,14,द दा दा द दा द दा द दा द दा द दा दा,18,दा दा दा द दा द दा दा द दा द दा द दा द दा दा दा,14,द दा दा द दा द दा द दा द दा द दा दा,18,दा दा दा द दा द दा दा द दा द दा द दा द दा दा दा,अर्ध-सम-वृत्त
अपरप्रीणिता,58,4,16,द दा द दा द दा द दा दा दा दा द दा दा द दा,13,द दा द दा द दा दा दा द दा दा द दा,16,द दा द दा द दा द दा दा दा दा द दा दा द दा,13,द दा द दा द दा दा दा द दा दा द दा,अर्ध-सम-वृत्त
प्रमाथिनी,50,4,13,द दा द दा दा द दा दा द दा द दा दा,12,द दा दा दा द दा दा द दा द दा दा,13,द दा द दा दा द दा दा द दा द दा दा,12,द दा दा दा द दा दा द दा द दा दा,अर्ध-सम-वृत्त
अनासववासिता,62,4,16,द दा दा दा द दा दा द दा द दा द दा द दा दा,15,द दा द दा द दा द दा द दा द दा द दा दा,16,द दा दा दा द दा दा द दा द दा द दा द दा दा,15,द दा द दा द दा द दा द दा द दा द दा दा,अर्ध-सम-वृत्त
शिशुमुखी,52,4,13,द दा द दा द दा द दा द दा दा द दा,13,द दा द दा द दा द दा दा द दा द दा,13,द दा द दा द दा द दा द दा दा द दा,13,द दा द दा द दा द दा दा द दा द दा,अर्ध-सम-वृत्त
कर्णिनी,44,4,11,दा द दा द दा द दा द दा दा दा,11,दा द दा द दा द दा द दा द दा,11,दा द दा द दा द दा द दा दा दा,11,दा द दा द दा द दा द दा द दा,अर्ध-सम-वृत्त
प्रमोदपरिणीता,58,4,14,द दा द दा द दा दा द दा द दा द दा दा,15,द दा द दा दा द दा दा द दा द दा द दा दा,14,द दा द दा द दा दा द दा द दा द दा दा,15,द दा द दा दा द दा दा द दा द दा द दा दा,अर्ध-सम-वृत्त
संपातशीला,44,4,10,दा दा द दा दा दा दा द दा दा,12,द दा दा द दा द दा दा दा द दा दा,10,दा दा द दा दा दा दा द दा दा,12,द दा दा द दा द दा दा दा द दा दा,अर्ध-सम-वृत्त
प्रभासिता,40,4,10,दा दा दा द दा दा द दा द दा,10,द दा दा द दा दा द दा द दा,10,दा दा दा द दा दा द दा द दा,10,द दा दा द दा दा द दा द दा,अर्ध-सम-वृत्त
सुन्दरी,42,4,11,द दा दा दा द दा दा द दा द दा,10,द दा दा द दा दा द दा द दा,11,द दा दा दा द दा दा द दा द दा,10,द दा दा द दा दा द दा द दा,अर्ध-सम-वृत्त
कमलाकरा,46,4,11,दा द दा दा द दा दा द दा दा दा,12,दा द दा द दा द दा दा द दा दा दा,11,दा द दा दा द दा दा द दा दा दा,12,दा द दा द दा द दा दा द दा दा दा,अर्ध-सम-वृत्त
