अनीचकम्,48,4,12,द दा द दा द दा द दा द दा द दा,12,द दा द दा द दा द दा द दा द दा,12,द दा द दा द दा द दा द दा द दा,12,द दा द दा द दा द दा द दा द दा,सम-वृत्त
लीला,36,4,9,द दा द दा दा दा द दा द,9,द दा द दा दा दा द दा द,9,द दा द दा दा दा द दा द,9,द दा द दा दा दा द दा द,सम-वृत्त
प्रतिभादर्शनम्,56,4,14,द दा दा दा द दा दा दा द दा द दा दा दा,14,द दा दा दा द दा दा दा द दा द दा दा दा,14,द दा दा दा द दा दा दा द दा द दा दा दा,14,द दा दा दा द दा दा दा द दा द दा दा दा,सम-वृत्त
कर्णपालिका,40,4,10,दा द दा द दा दा द दा द दा,10,दा द दा द दा दा द दा द दा,10,दा द दा द दा दा द दा द दा,10,दा द दा द दा दा द दा द दा,सम-वृत्त
उत्कटपट्टिका,96,4,24,दा दा द दा दा द दा द दा द दा द दा द दा द दा दा दा द दा दा द दा,24,दा दा द दा दा द दा द दा द दा द दा द दा द दा दा दा द दा दा द दा,24,दा दा द दा दा द दा द दा द दा द दा द दा द दा दा दा द दा दा द दा,24,दा दा द दा दा द दा द दा द दा द दा द दा द दा दा दा द दा दा द दा,सम-वृत्त
सिन्धुरया,24,4,6,दा द दा दा दा दा,6,दा द दा दा दा दा,6,दा द दा दा दा दा,6,दा द दा दा दा दा,सम-वृत्त
व्यायोगवती,48,4,12,दा दा द दा दा द दा द दा द दा दा,12,दा दा द दा दा द दा द दा द दा दा,12,दा दा द दा दा द दा द दा द दा दा,12,दा दा द दा दा द दा द दा द दा दा,सम-वृत्त
छिद्रम्,20,4,5,दा दा द दा द,5,दा दा द दा द,5,दा दा द दा द,5,दा दा द दा द,सम-वृत्त
परिमलम्,60,4,15,द दा द दा दा दा द दा द दा दा द दा दा दा,15,द दा द दा दा दा द दा द दा दा द दा दा दा,15,द दा द दा दा दा द दा द दा दा द दा दा दा,15,द दा द दा दा दा द दा द दा दा द दा दा दा,सम-वृत्त
विराट्,40,4,10,दा दा दा द दा दा द दा द दा,10,दा दा दा द दा दा द दा द दा,10,दा दा दा द दा दा द दा द दा,10,दा दा दा द दा दा द दा द दा,सम-वृत्त
विकुण्ठकण्ठः,104,4,26,दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा दा,26,दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा दा,26,दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा दा,26,दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा द दा दा,सम-वृत्त
