कर्मन्,नपुं।,क्रिया,,,क्रिया,,,,,,"कर्मन्,क्रिया,कृत्या,लीला",,"मनोव्यापारकर्मः,आह्वानम्,अविमृष्टकृत्यम्,क्रीडा,स्वरूपाच्छादनम्,केशबन्धरचना,भूषणक्रिया,शरीरशोभाककर्मः,गतगन्धस्य_प्रयत्नेनोद्बोधनम्,माल्यादिरचना,यज्ञः,यज्ञार्थं_पशुहननम्,यज्ञकर्मः,दानम्,श्राद्धकर्मः,याचनम्,पूजा,अटनम्,आचमनम्,मौनम्,अभिवादनम्,नैत्यिककर्मः,नियमकर्मः,मुण्डनम्,दूतकर्मः,गजसज्जीकरणम्,युद्धारम्भे_अन्ते_वा_पानकर्मः,युद्धम्,मारणम्,वणिक्कर्मः,मृगया,चोरकर्मः,कलाकौशल्यादिकर्मः,मद्यसन्धानम्,मद्यपानम्,प्रशस्तकर्मः,वशीकरणम्,ओषधीनां_मूलैरुच्चाटनकर्मः,कम्पनम्,प्रीणनम्,सूचीक्रिया,कर्तनम्,अपचयः,ग्राहणम्,शब्दकरणम्,पचनम्,राशीकरणम्,सदृशकरणम्,मारणादिक्रिया,धान्यादीनाम्_बहुलीकरणम्,सूत्रवेष्टनक्रिया,दुर्गप्रवेशनक्रिया,निराकरणम्,जुगुप्सनम्,अम्भसां_रयः,उन्नयनक्रिया,आच्छादनम्,चौर्यादिपरोपद्रवकर्मः,कृच्छ्रादिकर्मः"
क्रिया,स्त्री।,क्रिया,,,क्रिया,,,,,,"कर्मन्,क्रिया,कृत्या,लीला",,"मनोव्यापारकर्मः,आह्वानम्,अविमृष्टकृत्यम्,क्रीडा,स्वरूपाच्छादनम्,केशबन्धरचना,भूषणक्रिया,शरीरशोभाककर्मः,गतगन्धस्य_प्रयत्नेनोद्बोधनम्,माल्यादिरचना,यज्ञः,यज्ञार्थं_पशुहननम्,यज्ञकर्मः,दानम्,श्राद्धकर्मः,याचनम्,पूजा,अटनम्,आचमनम्,मौनम्,अभिवादनम्,नैत्यिककर्मः,नियमकर्मः,मुण्डनम्,दूतकर्मः,गजसज्जीकरणम्,युद्धारम्भे_अन्ते_वा_पानकर्मः,युद्धम्,मारणम्,वणिक्कर्मः,मृगया,चोरकर्मः,कलाकौशल्यादिकर्मः,मद्यसन्धानम्,मद्यपानम्,प्रशस्तकर्मः,वशीकरणम्,ओषधीनां_मूलैरुच्चाटनकर्मः,कम्पनम्,प्रीणनम्,सूचीक्रिया,कर्तनम्,अपचयः,ग्राहणम्,शब्दकरणम्,पचनम्,राशीकरणम्,सदृशकरणम्,मारणादिक्रिया,धान्यादीनाम्_बहुलीकरणम्,सूत्रवेष्टनक्रिया,दुर्गप्रवेशनक्रिया,निराकरणम्,जुगुप्सनम्,अम्भसां_रयः,उन्नयनक्रिया,आच्छादनम्,चौर्यादिपरोपद्रवकर्मः,कृच्छ्रादिकर्मः"
अपरस्पर,वि।,क्रियासातत्यः,,,क्रिया,,,,,,अपरस्पर,,
पारायण,वि।,साकल्यवचनम्,,,गुणः,शब्दः,,,,,पारायण,,
तुरायण,वि।,आसङ्गवचनम्,,,गुणः,शब्दः,,,,,तुरायण,,
यदृच्छा,स्त्री।,स्वातन्त्र्यम्,,,गुणः,मानसिकभावः,,,,,"यदृच्छा,स्वैरिता",,
स्वैरिता,स्त्री।,स्वातन्त्र्यम्,,,गुणः,मानसिकभावः,,,,,"यदृच्छा,स्वैरिता",,
विलक्षण,नपुं।,हेतुशून्यास्था,,,क्रिया,,,,,,विलक्षण,,
शमथ,पुं।,कामक्रोधाद्यभावः,,,गुणः,मानसिकभावः,,,,,"शमथ,शम,शान्ति",,
शम,पुं।,कामक्रोधाद्यभावः,,,गुणः,मानसिकभावः,,,,,"शमथ,शम,शान्ति",,
शान्ति,स्त्री।,कामक्रोधाद्यभावः,,,गुणः,मानसिकभावः,,,,,"शमथ,शम,शान्ति",,
दान्ति,स्त्री।,तपःक्लेशसहनम्,,,क्रिया,,,,,,"दान्ति,दमथ,दम",,
दमथ,पुं।,तपःक्लेशसहनम्,,,क्रिया,,,,,,"दान्ति,दमथ,दम",,
दम,पुं।,तपःक्लेशसहनम्,,,क्रिया,,,,,,"दान्ति,दमथ,दम",,
अवदान,नपुं।,प्रशस्तकर्मः,,,क्रिया,,,,,,"अवदान,कर्मवृत्त",,
कर्मवृत्त,नपुं।,प्रशस्तकर्मः,,,क्रिया,,,,,,"अवदान,कर्मवृत्त",,
काम्यदान,नपुं।,फलेच्छायुक्तदानम्,,,क्रिया,,,,,,"काम्यदान,प्रवारण",,
प्रवारण,नपुं।,फलेच्छायुक्तदानम्,,,क्रिया,,,,,,"काम्यदान,प्रवारण",,
वशक्रिया,स्त्री।,वशीकरणम्,,,क्रिया,,,,,,"वशक्रिया,संवनन",,
संवनन,नपुं।,वशीकरणम्,,,क्रिया,,,,,,"वशक्रिया,संवनन",,
मूलकर्मन्,नपुं।,ओषधीनां_मूलैरुच्चाटनकर्मः,,,क्रिया,,,,,,"मूलकर्मन्,कार्मण",,
कार्मण,नपुं।,ओषधीनां_मूलैरुच्चाटनकर्मः,,,क्रिया,,,,,,"मूलकर्मन्,कार्मण",,
विधूनन,नपुं।,कम्पनम्,,,क्रिया,,,,,,"विधूनन,विधुवन",,
विधुवन,नपुं।,कम्पनम्,,,क्रिया,,,,,,"विधूनन,विधुवन",,
तर्पण,नपुं।,प्रीणनम्,,,क्रिया,,,,,,"तर्पण,प्रीणन,अवन",,
प्रीणन,नपुं।,प्रीणनम्,,,क्रिया,,,,,,"तर्पण,प्रीणन,अवन",,
अवन,नपुं।,प्रीणनम्,,,क्रिया,,,,,,"तर्पण,प्रीणन,अवन",,
पर्याप्ति,स्त्री।,वधोद्यतनिवारणम्,,,क्रिया,,,,,,"पर्याप्ति,परित्राण,हस्तधारण",,
परित्राण,नपुं।,वधोद्यतनिवारणम्,,,क्रिया,,,,,,"पर्याप्ति,परित्राण,हस्तधारण",,
हस्तधारण,नपुं।,वधोद्यतनिवारणम्,,,क्रिया,,,,,,"पर्याप्ति,परित्राण,हस्तधारण",,
सेवन,नपुं।,सूचीक्रिया,,,क्रिया,,,,,,"सेवन,सीवन,स्यूति",,
सीवन,नपुं।,सूचीक्रिया,,,क्रिया,,,,,,"सेवन,सीवन,स्यूति",,
स्यूति,स्त्री।,सूचीक्रिया,,,क्रिया,,,,,,"सेवन,सीवन,स्यूति",,
विदर,पुं।,द्विधाभावः,,,क्रिया,,,,,,"विदर,स्फुटन,भिद्",,
स्फुटन,नपुं।,द्विधाभावः,,,क्रिया,,,,,,"विदर,स्फुटन,भिद्",,
भिद्,स्त्री।,द्विधाभावः,,,क्रिया,,,,,,"विदर,स्फुटन,भिद्",,
आक्रोशन,नपुं।,शापवचनम्,,,गुणः,शब्दः,,,,,"शाप,आक्रोश,दुरेषणा,आक्रोशन,अभीषङ्ग,अभिषङ्ग,परिग्रह",,
अभीषङ्ग,पुं।,शापवचनम्,,,गुणः,शब्दः,,,,,"शाप,आक्रोश,दुरेषणा,आक्रोशन,अभीषङ्ग,अभिषङ्ग,परिग्रह",,
संवेद,पुं।,अनुभवः,,,गुणः,मानसिकभावः,,,,,"संवेद,वेदना,उपलम्भ,अनुभव,निर्वेश",,
वेदना,स्त्री-नपुं।,अनुभवः,,,गुणः,मानसिकभावः,,,,,"संवेद,वेदना,उपलम्भ,अनुभव,निर्वेश",,
सम्मूर्च्छन,नपुं।,सर्वतोव्याप्तिः,,,क्रिया,,,,,,"सम्मूर्च्छन,अभिव्याप्ति,आङ्",,
अभिव्याप्ति,स्त्री।,सर्वतोव्याप्तिः,,,क्रिया,,,,,,"सम्मूर्च्छन,अभिव्याप्ति,आङ्",,
याञ्चा,स्त्री।,याचनम्,,,क्रिया,,,,,,"याञ्चा,अभिशस्ति,याचना,अर्थना,याञ्चा,भिक्षा,अर्थना,अर्दना,प्रणय,भिक्षा","याचकः,याचकः",
