सन्तति,स्त्री।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
गोत्र,नपुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
जनन,नपुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
कुल,नपुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
अभिजन,पुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
अन्वय,पुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
वंश,पुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
अन्ववाय,पुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
सन्तान,पुं।,वंशः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"सन्तति,गोत्र,जनन,कुल,अभिजन,अन्वय,वंश,अन्ववाय,सन्तान,अनूक,निधन",,"सगोत्रः,ब्राह्मणादिवर्णचतुष्टयवाचकः"
वर्ण,पुं।,ब्राह्मणादिवर्णचतुष्टयवाचकः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"वर्ण,वर्ण",,
चातुर्वर्ण्य,नपुं।,विप्रक्षत्रियविट्शूद्राणां_सामान्यनाम,,नाम,,,,,,,चातुर्वर्ण्य,,
राजबीजिन्,पुं।,राजवंशोत्पन्नः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"राजबीजिन्,राजवंश्य",,
राजवंश्य,पुं।,राजवंशोत्पन्नः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"राजबीजिन्,राजवंश्य",,
बीज्य,पुं।,कुलोत्पन्नः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"बीज्य,कुलसम्भव",,
कुलसम्भव,पुं।,कुलोत्पन्नः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"बीज्य,कुलसम्भव",,
महाकुल,पुं।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
कुलीन,वि।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
आर्य,पुं।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
सभ्य,पुं।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
सज्जन,पुं।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
साधु,वि।,कुलीनः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"महाकुल,कुलीन,आर्य,सभ्य,सज्जन,साधु",,
ब्रह्मचारिन्,पुं।,ब्रह्मचर्याश्रमी,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,ब्रह्मचारिन्,,ब्राह्मणः
गृहिन्,पुं।,गृहस्थाश्रमी,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,गृहिन्,,
वानप्रस्थ,पुं।,वानप्रस्थाश्रमी,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,वानप्रस्थ,,
भिक्षु,पुं।,संन्यासाश्रमी,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,भिक्षु,,संन्यासी
आश्रम,पुं-नपुं।,ब्रह्मचर्यादिचतुष्टयस्य_नाम,,नाम,,,,,,,आश्रम,,"ब्रह्मचर्याश्रमी,गृहस्थाश्रमी,वानप्रस्थाश्रमी,संन्यासाश्रमी"
द्विजाति,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
अग्रजन्मन्,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
भूदेव,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
वाडव,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
विप्र,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
ब्राह्मण,पुं।,ब्राह्मणः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"द्विजाति,अग्रजन्मन्,भूदेव,वाडव,विप्र,ब्राह्मण,द्विज,ब्रह्मन्",,"यागादिषट्कर्मयुक्तविप्रः,यागे_यजमानः"
षट्कर्मन्,पुं।,यागादिषट्कर्मयुक्तविप्रः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,षट्कर्मन्,,
विद्वस्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
विपश्चित्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
दोषज्ञ,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
सत्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
सुधी,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
कोविद,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
बुध,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
धीर,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
मनीषिन्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
ज्ञ,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
प्राज्ञ,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
सङ्ख्यावत्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
पण्डित,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
कवि,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
धीमत्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
सूरिन्,पुं।,विद्वान्,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"भाव,विद्वस्,विपश्चित्,दोषज्ञ,सत्,सुधी,कोविद,बुध,धीर,मनीषिन्,ज्ञ,प्राज्ञ,सङ्ख्यावत्,पण्डित,कवि,धीमत्,सूरिन्,कृतिन्,कृष्टि,लब्धवर्ण,विचक्षण,दूरदर्शिन्,दीर्घदर्शिन्,व्यक्त,विशारद,वृद्धि",,
