दिश्,स्त्री।,दिक्,,,द्रव्यम्,दिक्,,,,,"दिश्,ककुभ्,काष्ठा,आशा,हरित्,गो","दिग्भवम्,पूर्वदिक्,पश्चिमदिक्,दिग्भवम्,दिग्भवम्","पूर्वदिक्,दक्षिणदिक्,पश्चिमदिक्,दिङ्नाम,उत्तरदिक्,अग्न्यादिकोणस्य_नाम,मध्यमात्रदिशः_नाम,चक्राकारदिशः_नाम,अग्रे"
ककुभ्,स्त्री।,दिक्,,,द्रव्यम्,दिक्,,,,,"दिश्,ककुभ्,काष्ठा,आशा,हरित्,गो","दिग्भवम्,पूर्वदिक्,पश्चिमदिक्,दिग्भवम्,दिग्भवम्","पूर्वदिक्,दक्षिणदिक्,पश्चिमदिक्,दिङ्नाम,उत्तरदिक्,अग्न्यादिकोणस्य_नाम,मध्यमात्रदिशः_नाम,चक्राकारदिशः_नाम,अग्रे"
काष्ठा,स्त्री।,दिक्,,,द्रव्यम्,दिक्,,,,,"दिश्,ककुभ्,काष्ठा,आशा,हरित्,गो","दिग्भवम्,पूर्वदिक्,पश्चिमदिक्,दिग्भवम्,दिग्भवम्","पूर्वदिक्,दक्षिणदिक्,पश्चिमदिक्,दिङ्नाम,उत्तरदिक्,अग्न्यादिकोणस्य_नाम,मध्यमात्रदिशः_नाम,चक्राकारदिशः_नाम,अग्रे"
आशा,स्त्री।,दिक्,,,द्रव्यम्,दिक्,,,,,"दिश्,ककुभ्,काष्ठा,आशा,हरित्,गो","दिग्भवम्,पूर्वदिक्,पश्चिमदिक्,दिग्भवम्,दिग्भवम्","पूर्वदिक्,दक्षिणदिक्,पश्चिमदिक्,दिङ्नाम,उत्तरदिक्,अग्न्यादिकोणस्य_नाम,मध्यमात्रदिशः_नाम,चक्राकारदिशः_नाम,अग्रे"
हरित्,स्त्री।,दिक्,,,द्रव्यम्,दिक्,,,,,"दिश्,ककुभ्,काष्ठा,आशा,हरित्,गो","दिग्भवम्,पूर्वदिक्,पश्चिमदिक्,दिग्भवम्,दिग्भवम्","पूर्वदिक्,दक्षिणदिक्,पश्चिमदिक्,दिङ्नाम,उत्तरदिक्,अग्न्यादिकोणस्य_नाम,मध्यमात्रदिशः_नाम,चक्राकारदिशः_नाम,अग्रे"
प्राची,स्त्री।,पूर्वदिक्,,,द्रव्यम्,दिक्,,,,,"प्राची,प्राक्,पूर्व,अनुत्तर,पुरस्तात्","पूर्वदिशि_भवम्,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशायाः_स्वामी,पूर्वदिशि_भवम्,पूर्वदिशायाः_स्वामी,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशि_भवम्",
अवाची,स्त्री।,दक्षिणदिक्,,,द्रव्यम्,दिक्,,,,,"अवाची,अवाच्","दक्षिणदिशि_भवम्,दक्षिणदिशायाः_ग्रहः,दक्षिणदिग्गजः,दक्षिणदिशायाः_स्वामी,दक्षिणदिशि_भवम्,दक्षिणदिशायाः_स्वामी,दक्षिणदिशायाः_ग्रहः,दक्षिणदिग्गजः,दक्षिणदिशि_भवम्",
प्रतीची,स्त्री।,पश्चिमदिक्,,,द्रव्यम्,दिक्,,,,,"प्रतीची,प्रत्यग्,पश्चात्","पश्चिमदिशि_भवम्,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशायाः_स्वामी,पश्चिमदिशि_भवम्,पश्चिमदिशायाः_स्वामी,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशि_भवम्",
पूर्व,पुं।,दिङ्नाम,,,द्रव्यम्,दिक्,,,,,"पूर्व,दक्षिण,पश्चिम,उत्तरा",,
दक्षिण,स्त्री।,दिङ्नाम,,,द्रव्यम्,दिक्,,,,,"पूर्व,दक्षिण,पश्चिम,उत्तरा",,
पश्चिम,स्त्री।,दिङ्नाम,,,द्रव्यम्,दिक्,,,,,"पूर्व,दक्षिण,पश्चिम,उत्तरा",,
उत्तरा,स्त्री।,दिङ्नाम,,,द्रव्यम्,दिक्,,,,,"पूर्व,दक्षिण,पश्चिम,उत्तरा",,
उदीची,स्त्री।,उत्तरदिक्,,,द्रव्यम्,दिक्,,,,,"उदीची,उदक्,उत्तर","उत्तरदिशि_भवम्,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशायाः_स्वामी,उत्तरदिशि_भवम्,उत्तरदिशायाः_स्वामी,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशि_भवम्",
दिश्य,वि।,दिग्भवम्,,,द्रव्यम्,,,,,,दिश्य,"दिक्,दिक्",
अवाच्,वि।,दक्षिणदिक्,,,द्रव्यम्,दिक्,,,,,"अवाची,अवाच्","दक्षिणदिशि_भवम्,दक्षिणदिशायाः_ग्रहः,दक्षिणदिग्गजः,दक्षिणदिशायाः_स्वामी,दक्षिणदिशि_भवम्,दक्षिणदिशायाः_स्वामी,दक्षिणदिशायाः_ग्रहः,दक्षिणदिग्गजः,दक्षिणदिशि_भवम्",
अवाचीन,वि।,दक्षिणदिशि_भवम्,,,द्रव्यम्,,,,,,अवाचीन,"दक्षिणदिक्,दक्षिणदिक्",
उदीचीन,वि।,उत्तरदिशि_भवम्,,,द्रव्यम्,,,,,,उदीचीन,"उत्तरदिक्,उत्तरदिक्",
उदक्,अव्य।,उत्तरदिक्,,,द्रव्यम्,दिक्,,,,,"उदीची,उदक्,उत्तर","उत्तरदिशि_भवम्,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशायाः_स्वामी,उत्तरदिशि_भवम्,उत्तरदिशायाः_स्वामी,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशि_भवम्",
प्रत्यग्,अव्य।,पश्चिमदिक्,,,द्रव्यम्,दिक्,,,,,"प्रतीची,प्रत्यग्,पश्चात्","पश्चिमदिशि_भवम्,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशायाः_स्वामी,पश्चिमदिशि_भवम्,पश्चिमदिशायाः_स्वामी,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशि_भवम्",
प्रतीचीन,वि।,पश्चिमदिशि_भवम्,,,द्रव्यम्,,,,,,प्रतीचीन,"पश्चिमदिक्,पश्चिमदिक्",
