ऊरव्य,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
ऊरुज,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
अर्य,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
वैश्य,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
भूमिस्पृश्,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
विश्,पुं।,वैश्यः,,समूहः,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्यः,,,"ऊरव्य,ऊरुज,अर्य,वैश्य,भूमिस्पृश्,विश्",वैश्यपत्नी,
आजीव,पुं।,जीवनोपायः,,वृत्तिः,,,,,,,"आजीव,जीविका,वार्ता,वृत्ति,वर्तन,जीवन",,"परचित्तानुवर्त्तनम्,कर्षणम्,तण्डुलादियाचितः,वाणिज्यम्,ऋणसम्बन्धिकालान्तरद्रव्येण_लोकजीविका"
जीविका,स्त्री।,जीवनोपायः,,वृत्तिः,,,,,,,"आजीव,जीविका,वार्ता,वृत्ति,वर्तन,जीवन",,"परचित्तानुवर्त्तनम्,कर्षणम्,तण्डुलादियाचितः,वाणिज्यम्,ऋणसम्बन्धिकालान्तरद्रव्येण_लोकजीविका"
वार्ता,स्त्री।,जीवनोपायः,,वृत्तिः,,,,,,,"आजीव,जीविका,वार्ता,वृत्ति,वर्तन,जीवन",,"परचित्तानुवर्त्तनम्,कर्षणम्,तण्डुलादियाचितः,वाणिज्यम्,ऋणसम्बन्धिकालान्तरद्रव्येण_लोकजीविका"
वृत्ति,स्त्री।,जीवनोपायः,,वृत्तिः,,,,,,,"आजीव,जीविका,वार्ता,वृत्ति,वर्तन,जीवन",,"परचित्तानुवर्त्तनम्,कर्षणम्,तण्डुलादियाचितः,वाणिज्यम्,ऋणसम्बन्धिकालान्तरद्रव्येण_लोकजीविका"
वर्तन,नपुं।,जीवनोपायः,,वृत्तिः,,,,,,,"आजीव,जीविका,वार्ता,वृत्ति,वर्तन,जीवन",,"परचित्तानुवर्त्तनम्,कर्षणम्,तण्डुलादियाचितः,वाणिज्यम्,ऋणसम्बन्धिकालान्तरद्रव्येण_लोकजीविका"
