अस्ति सत्तायाम्– 1.1.1	सत्तायाम्–अस्ति भवति विद्यते
भवति सत्तायाम्– 1.1.1	सत्तायाम्–अस्ति भवति विद्यते
विद्यते सत्तायाम्– 1.1.1	सत्तायाम्–अस्ति भवति विद्यते
सत्तायाम्–	सत्तायाम्–अस्ति भवति विद्यते 1.1.1
उत्पद्यते जन्मनि– 1.1.2	जन्मनि–उत्पद्यते जायते प्ररोहति उद्भवति
जायते जन्मनि– 1.1.2	जन्मनि–उत्पद्यते जायते प्ररोहति उद्भवति
प्ररोहति जन्मनि– 1.1.2	जन्मनि–उत्पद्यते जायते प्ररोहति उद्भवति
उद्भवति जन्मनि– 1.1.2	जन्मनि–उत्पद्यते जायते प्ररोहति उद्भवति
जन्मनि–	जन्मनि–उत्पद्यते जायते प्ररोहति उद्भवति 1.1.2
निर्वर्तते सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
सम्भवति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
सिद्ध्यति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
राध्यति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
निष्पद्यते सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
राध्नोति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
साध्नोति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
फलति सिद्धौ 1.1.3	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति
सिद्धौ	सिद्धौनिर्वर्तते सम्भवति सिद्ध्यति राध्यति निष्पद्यते राध्नोति साध्नोति फलति 1.1.3
वर्तते स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
वसति स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
आस्ते स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
ध्रियते स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
अवतिष्ठते स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
क्षियति स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
स्थलति स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
मठति स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
तिष्ठति स्थित्याम्– 1.1.4	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति
स्थित्याम्–	स्थित्याम्–वर्तते वसति आस्ते ध्रियते अवतिष्ठते क्षियति स्थलति मठति तिष्ठति 1.1.4
बलति जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
ऊर्जयति जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
श्वसिति जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
अनिति जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
जीवति जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
अन्यते जीवे– 1.1.5	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते
जीवे–	जीवे–बलति ऊर्जयति श्वसिति अनिति जीवति अन्यते 1.1.5
प्राणिति प्राणवृत्तिषु–[a] 1.1.5क	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति
समनिति प्राणवृत्तिषु–[a] 1.1.5क	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति
उदनिति प्राणवृत्तिषु–[a] 1.1.5क	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति
व्यनिति प्राणवृत्तिषु–[a] 1.1.5क	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति
अपानिति प्राणवृत्तिषु–[a] 1.1.5क	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति
प्राणवृत्तिषु–[a]	प्राणवृत्तिषु–[a]प्राणिति समनिति उदनिति व्यनिति अपानिति 1.1.5क
क्षञ्जयति कृच्छ्रजीवे 1.1.6	कृच्छ्रजीवेक्षञ्जयति कठति आतङ्कति
कठति कृच्छ्रजीवे 1.1.6	कृच्छ्रजीवेक्षञ्जयति कठति आतङ्कति
आतङ्कति कृच्छ्रजीवे 1.1.6	कृच्छ्रजीवेक्षञ्जयति कठति आतङ्कति
कृच्छ्रजीवे	कृच्छ्रजीवेक्षञ्जयति कठति आतङ्कति 1.1.6
परिणमति-परिणमते[b] परिणामे 1.1.7	परिणामेपरिणमति-परिणमते[b] विवर्तते सम्पद्यते कल्पते
विवर्तते परिणामे 1.1.7	परिणामेपरिणमति-परिणमते[b] विवर्तते सम्पद्यते कल्पते
सम्पद्यते परिणामे 1.1.7	परिणामेपरिणमति-परिणमते[b] विवर्तते सम्पद्यते कल्पते
कल्पते परिणामे 1.1.7	परिणामेपरिणमति-परिणमते[b] विवर्तते सम्पद्यते कल्पते
परिणामे	परिणामेपरिणमति-परिणमते[b] विवर्तते सम्पद्यते कल्पते 1.1.7
बृंहति वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
वर्धते वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
आप्यायते वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
स्फायते वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
श्वयति वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
ऋध्नोति वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
बर्हति वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
आपूर्यते वृद्धौ 1.1.8	वृद्धौबृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
